timestamp,req_pred,bytes_pred
1995-08-23 00:00:00-04:00,83,127870.4136940928
1995-08-23 00:01:00-04:00,54,244868.62550041563
1995-08-23 00:02:00-04:00,41,221280.8462186483
1995-08-23 00:03:00-04:00,65,851118.7586925768
1995-08-23 00:04:00-04:00,36,1102852.8476981188
1995-08-23 00:05:00-04:00,38,402458.75817048206
1995-08-23 00:06:00-04:00,23,463637.802679652
1995-08-23 00:07:00-04:00,23,1781556.882700471
1995-08-23 00:08:00-04:00,11,64538.82572023834
1995-08-23 00:09:00-04:00,28,233689.96366185456
1995-08-23 00:10:00-04:00,28,568931.8669281112
1995-08-23 00:11:00-04:00,25,301606.167186868
1995-08-23 00:12:00-04:00,34,297380.6283288237
1995-08-23 00:13:00-04:00,12,183332.74912004126
1995-08-23 00:14:00-04:00,12,1663905.4925121975
1995-08-23 00:15:00-04:00,39,319890.0414651072
1995-08-23 00:16:00-04:00,26,1315361.1700854467
1995-08-23 00:17:00-04:00,10,192809.43521342656
1995-08-23 00:18:00-04:00,55,556913.6912635121
1995-08-23 00:19:00-04:00,37,592603.3578676217
1995-08-23 00:20:00-04:00,27,674626.4821895919
1995-08-23 00:21:00-04:00,11,85490.24128648273
1995-08-23 00:22:00-04:00,31,532880.0263990045
1995-08-23 00:23:00-04:00,31,320007.8432957972
1995-08-23 00:24:00-04:00,28,314052.8754254094
1995-08-23 00:25:00-04:00,17,175120.3901315281
1995-08-23 00:26:00-04:00,19,213904.61017453883
1995-08-23 00:27:00-04:00,19,679555.6451010781
1995-08-23 00:28:00-04:00,18,883889.2445045362
1995-08-23 00:29:00-04:00,35,336876.12378379813
1995-08-23 00:30:00-04:00,31,344232.6077729992
1995-08-23 00:31:00-04:00,23,655561.0391116005
1995-08-23 00:32:00-04:00,12,312166.5623569598
1995-08-23 00:33:00-04:00,19,140533.20837891128
1995-08-23 00:34:00-04:00,16,287706.85834717535
1995-08-23 00:35:00-04:00,12,120170.6358361853
1995-08-23 00:36:00-04:00,25,322449.98478185583
1995-08-23 00:37:00-04:00,37,320914.7909853785
1995-08-23 00:38:00-04:00,14,82725.90046781667
1995-08-23 00:39:00-04:00,12,82360.55917034032
1995-08-23 00:40:00-04:00,21,383541.1835524467
1995-08-23 00:41:00-04:00,12,229141.31731027068
1995-08-23 00:42:00-04:00,22,248336.1468267738
1995-08-23 00:43:00-04:00,21,171737.86490938236
1995-08-23 00:44:00-04:00,23,1433530.7582195648
1995-08-23 00:45:00-04:00,16,311543.69437763654
1995-08-23 00:46:00-04:00,17,1305891.2670427833
1995-08-23 00:47:00-04:00,44,357197.58136803913
1995-08-23 00:48:00-04:00,20,1162101.2614521943
1995-08-23 00:49:00-04:00,23,214687.812063479
1995-08-23 00:50:00-04:00,26,942697.8502036799
1995-08-23 00:51:00-04:00,34,226999.8359509223
1995-08-23 00:52:00-04:00,26,305967.160124944
1995-08-23 00:53:00-04:00,19,135002.68881647688
1995-08-23 00:54:00-04:00,14,137225.97924877668
1995-08-23 00:55:00-04:00,20,159296.3936506037
1995-08-23 00:56:00-04:00,34,853525.3994253147
1995-08-23 00:57:00-04:00,15,405727.46971274895
1995-08-23 00:58:00-04:00,17,342397.8228392746
1995-08-23 00:59:00-04:00,12,499964.2779584826
1995-08-23 01:00:00-04:00,14,225682.66134550277
1995-08-23 01:01:00-04:00,16,198771.7403424695
1995-08-23 01:02:00-04:00,18,204378.83461562765
1995-08-23 01:03:00-04:00,9,29860.814263756336
1995-08-23 01:04:00-04:00,12,287024.565587723
1995-08-23 01:05:00-04:00,9,100798.41949689592
1995-08-23 01:06:00-04:00,12,421426.4746293521
1995-08-23 01:07:00-04:00,21,595201.7665122653
1995-08-23 01:08:00-04:00,9,291791.2261033011
1995-08-23 01:09:00-04:00,5,106171.35316045117
1995-08-23 01:10:00-04:00,9,236210.9457884542
1995-08-23 01:11:00-04:00,13,154212.52606250287
1995-08-23 01:12:00-04:00,20,610941.2482396535
1995-08-23 01:13:00-04:00,24,163685.8568316108
1995-08-23 01:14:00-04:00,8,239059.31791066504
1995-08-23 01:15:00-04:00,10,97264.13100296046
1995-08-23 01:16:00-04:00,21,201168.220480682
1995-08-23 01:17:00-04:00,11,33965.438174073504
1995-08-23 01:18:00-04:00,22,125921.77274205814
1995-08-23 01:19:00-04:00,20,154046.68826257897
1995-08-23 01:20:00-04:00,10,140803.10944256824
1995-08-23 01:21:00-04:00,18,301798.3872712162
1995-08-23 01:22:00-04:00,15,414076.3834280913
1995-08-23 01:23:00-04:00,25,105628.47149005967
1995-08-23 01:24:00-04:00,20,317688.27113827557
1995-08-23 01:25:00-04:00,22,126681.5752912293
1995-08-23 01:26:00-04:00,30,187460.97108756198
1995-08-23 01:27:00-04:00,32,356053.0633543412
1995-08-23 01:28:00-04:00,17,343528.41521179787
1995-08-23 01:29:00-04:00,45,427301.9087318315
1995-08-23 01:30:00-04:00,30,402208.70929489855
1995-08-23 01:31:00-04:00,19,234640.8369000929
1995-08-23 01:32:00-04:00,36,322471.77233723825
1995-08-23 01:33:00-04:00,17,499111.9140094819
1995-08-23 01:34:00-04:00,42,1455018.4355408733
1995-08-23 01:35:00-04:00,11,151293.21176520947
1995-08-23 01:36:00-04:00,11,74645.89283083964
1995-08-23 01:37:00-04:00,4,123762.62076213345
1995-08-23 01:38:00-04:00,20,457833.9731699556
1995-08-23 01:39:00-04:00,13,80806.5514149278
1995-08-23 01:40:00-04:00,14,397862.48456561856
1995-08-23 01:41:00-04:00,20,410211.52586197434
1995-08-23 01:42:00-04:00,26,533716.4037076229
1995-08-23 01:43:00-04:00,18,215598.5611526134
1995-08-23 01:44:00-04:00,9,85672.34402149924
1995-08-23 01:45:00-04:00,18,402348.1910832781
1995-08-23 01:46:00-04:00,35,206107.5870818034
1995-08-23 01:47:00-04:00,41,643751.977151537
1995-08-23 01:48:00-04:00,21,182251.80207433764
1995-08-23 01:49:00-04:00,16,156769.57209847588
1995-08-23 01:50:00-04:00,10,264257.34120259195
1995-08-23 01:51:00-04:00,14,278109.06727831624
1995-08-23 01:52:00-04:00,27,351707.8117642134
1995-08-23 01:53:00-04:00,18,141661.40933865553
1995-08-23 01:54:00-04:00,10,77896.33688148383
1995-08-23 01:55:00-04:00,15,356946.2430594262
1995-08-23 01:56:00-04:00,10,212454.99854820286
1995-08-23 01:57:00-04:00,19,213117.71513242592
1995-08-23 01:58:00-04:00,12,182770.1658239013
1995-08-23 01:59:00-04:00,25,170080.21896555123
1995-08-23 02:00:00-04:00,21,235563.4148907088
1995-08-23 02:01:00-04:00,21,370154.88745889516
1995-08-23 02:02:00-04:00,9,63278.14783228501
1995-08-23 02:03:00-04:00,13,135375.93598558722
1995-08-23 02:04:00-04:00,29,197420.82709964822
1995-08-23 02:05:00-04:00,21,516133.8669336923
1995-08-23 02:06:00-04:00,18,106302.95361001116
1995-08-23 02:07:00-04:00,20,173682.61162578908
1995-08-23 02:08:00-04:00,9,76928.86010089245
1995-08-23 02:09:00-04:00,17,331859.88206973224
1995-08-23 02:10:00-04:00,14,154978.73797836824
1995-08-23 02:11:00-04:00,11,128011.17241045843
1995-08-23 02:12:00-04:00,25,155965.86409523257
1995-08-23 02:13:00-04:00,29,487745.8561491843
1995-08-23 02:14:00-04:00,25,239209.78334415355
1995-08-23 02:15:00-04:00,27,541526.3538404885
1995-08-23 02:16:00-04:00,24,379724.66856198595
1995-08-23 02:17:00-04:00,20,335303.5652260804
1995-08-23 02:18:00-04:00,23,213464.65425709303
1995-08-23 02:19:00-04:00,25,668889.8033439973
1995-08-23 02:20:00-04:00,33,1240148.7563335078
1995-08-23 02:21:00-04:00,33,120943.84040810491
1995-08-23 02:22:00-04:00,16,191557.1944567019
1995-08-23 02:23:00-04:00,12,1044276.1529210171
1995-08-23 02:24:00-04:00,31,415135.7787874229
1995-08-23 02:25:00-04:00,28,228195.17584957555
1995-08-23 02:26:00-04:00,26,322291.55566706386
1995-08-23 02:27:00-04:00,23,337103.67507640756
1995-08-23 02:28:00-04:00,20,167039.21776616055
1995-08-23 02:29:00-04:00,12,231768.1857342421
1995-08-23 02:30:00-04:00,22,227972.56606352606
1995-08-23 02:31:00-04:00,26,279253.17535196204
1995-08-23 02:32:00-04:00,26,811485.2540812623
1995-08-23 02:33:00-04:00,19,341224.66543206474
1995-08-23 02:34:00-04:00,24,255179.0640126838
1995-08-23 02:35:00-04:00,19,615690.2002138101
1995-08-23 02:36:00-04:00,12,265971.0360213311
1995-08-23 02:37:00-04:00,19,474948.651284626
1995-08-23 02:38:00-04:00,18,374579.51838165114
1995-08-23 02:39:00-04:00,12,265166.63374201354
1995-08-23 02:40:00-04:00,13,290346.08513284044
1995-08-23 02:41:00-04:00,17,179195.9411820669
1995-08-23 02:42:00-04:00,6,94409.97703761591
1995-08-23 02:43:00-04:00,3,203557.61301778728
1995-08-23 02:44:00-04:00,12,214426.31829821243
1995-08-23 02:45:00-04:00,13,301062.4373819128
1995-08-23 02:46:00-04:00,16,258224.95284663254
1995-08-23 02:47:00-04:00,14,75585.59934949563
1995-08-23 02:48:00-04:00,14,106290.6853270006
1995-08-23 02:49:00-04:00,17,284149.3887793525
1995-08-23 02:50:00-04:00,21,191477.64570368238
1995-08-23 02:51:00-04:00,17,281347.56751191674
1995-08-23 02:52:00-04:00,14,311275.0212832312
1995-08-23 02:53:00-04:00,24,672013.1664682251
1995-08-23 02:54:00-04:00,23,471786.39657752705
1995-08-23 02:55:00-04:00,24,797039.5315757693
1995-08-23 02:56:00-04:00,15,437204.0597168985
1995-08-23 02:57:00-04:00,15,154078.91013720704
1995-08-23 02:58:00-04:00,16,189194.44425908066
1995-08-23 02:59:00-04:00,31,425984.5611241466
1995-08-23 03:00:00-04:00,40,669223.3284719497
1995-08-23 03:01:00-04:00,23,344248.01316784177
1995-08-23 03:02:00-04:00,5,482417.79950682767
1995-08-23 03:03:00-04:00,6,338011.33157338004
1995-08-23 03:04:00-04:00,0,0.004243089388558857
1995-08-23 03:05:00-04:00,3,905918.3562592767
1995-08-23 03:06:00-04:00,8,58555.9409001655
1995-08-23 03:07:00-04:00,4,47059.6823125073
1995-08-23 03:08:00-04:00,9,96949.4110794571
1995-08-23 03:09:00-04:00,13,525885.7821311358
1995-08-23 03:10:00-04:00,15,298032.7853311308
1995-08-23 03:11:00-04:00,23,882909.9303179866
1995-08-23 03:12:00-04:00,14,162705.36745865815
1995-08-23 03:13:00-04:00,34,296762.24066132435
1995-08-23 03:14:00-04:00,40,170511.45578175414
1995-08-23 03:15:00-04:00,42,359587.14982775314
1995-08-23 03:16:00-04:00,35,620010.0336346399
1995-08-23 03:17:00-04:00,23,629654.0344929718
1995-08-23 03:18:00-04:00,15,35181.811223360106
1995-08-23 03:19:00-04:00,20,1549186.3769382385
1995-08-23 03:20:00-04:00,20,622989.5527002008
1995-08-23 03:21:00-04:00,19,1455871.5311706732
1995-08-23 03:22:00-04:00,14,1200236.4879872736
1995-08-23 03:23:00-04:00,20,219770.47897063484
1995-08-23 03:24:00-04:00,14,256535.1078296002
1995-08-23 03:25:00-04:00,20,438222.33377696294
1995-08-23 03:26:00-04:00,23,268272.44910263986
1995-08-23 03:27:00-04:00,19,1544534.8102215019
1995-08-23 03:28:00-04:00,20,308574.19743381673
1995-08-23 03:29:00-04:00,8,164490.16079513065
1995-08-23 03:30:00-04:00,12,564018.4518605922
1995-08-23 03:31:00-04:00,8,138293.32459066575
1995-08-23 03:32:00-04:00,21,697617.626572919
1995-08-23 03:33:00-04:00,8,87492.19631751925
1995-08-23 03:34:00-04:00,12,124564.80957524112
1995-08-23 03:35:00-04:00,10,73909.41012563567
1995-08-23 03:36:00-04:00,13,312202.73673384497
1995-08-23 03:37:00-04:00,11,154097.38426412002
1995-08-23 03:38:00-04:00,17,151659.79254738105
1995-08-23 03:39:00-04:00,21,135728.9323305498
1995-08-23 03:40:00-04:00,28,1029136.7232499085
1995-08-23 03:41:00-04:00,14,1203241.9551640134
1995-08-23 03:42:00-04:00,25,319115.54864735814
1995-08-23 03:43:00-04:00,26,517135.7488107333
1995-08-23 03:44:00-04:00,23,276820.33922951075
1995-08-23 03:45:00-04:00,12,133811.010813988
1995-08-23 03:46:00-04:00,21,155247.4339583131
1995-08-23 03:47:00-04:00,11,1161888.4790832303
1995-08-23 03:48:00-04:00,11,228049.3568690299
1995-08-23 03:49:00-04:00,22,490505.7671390674
1995-08-23 03:50:00-04:00,17,1166565.5803256498
1995-08-23 03:51:00-04:00,25,148109.84328174466
1995-08-23 03:52:00-04:00,12,72128.0058320021
