time,instances,util,load,capacity,scaled
1995-08-23 00:00:00-04:00,2,1.8466666666666667,554,300,True
1995-08-23 00:15:00-04:00,3,1.0711111111111111,482,450,True
1995-08-23 00:30:00-04:00,3,0.7688888888888888,346,450,False
1995-08-23 00:45:00-04:00,3,0.76,342,450,False
1995-08-23 01:00:00-04:00,3,0.48444444444444446,218,450,False
1995-08-23 01:15:00-04:00,3,0.6577777777777778,296,450,False
1995-08-23 01:30:00-04:00,2,0.9733333333333334,292,300,True
1995-08-23 01:45:00-04:00,3,0.6022222222222222,271,450,True
1995-08-23 02:00:00-04:00,3,0.6088888888888889,274,450,False
1995-08-23 02:15:00-04:00,3,0.8111111111111111,365,450,False
1995-08-23 02:30:00-04:00,3,0.5533333333333333,249,450,False
1995-08-23 02:45:00-04:00,3,0.6,270,450,False
1995-08-23 03:00:00-04:00,3,0.6088888888888889,274,450,False
1995-08-23 03:15:00-04:00,3,0.7044444444444444,317,450,False
1995-08-23 03:30:00-04:00,3,0.5844444444444444,263,450,False
1995-08-23 03:45:00-04:00,3,0.5911111111111111,266,450,False
1995-08-23 04:00:00-04:00,3,0.54,243,450,False
1995-08-23 04:15:00-04:00,3,0.34,153,450,False
1995-08-23 04:30:00-04:00,3,0.4911111111111111,221,450,False
1995-08-23 04:45:00-04:00,3,0.46,207,450,False
1995-08-23 05:00:00-04:00,3,0.52,234,450,False
1995-08-23 05:15:00-04:00,2,0.8966666666666666,269,300,True
1995-08-23 05:30:00-04:00,3,0.6355555555555555,286,450,True
1995-08-23 05:45:00-04:00,3,0.5755555555555556,259,450,False
1995-08-23 06:00:00-04:00,3,0.62,279,450,False
1995-08-23 06:15:00-04:00,3,0.7488888888888889,337,450,False
1995-08-23 06:30:00-04:00,3,0.7155555555555555,322,450,False
1995-08-23 06:45:00-04:00,3,0.7911111111111111,356,450,False
1995-08-23 07:00:00-04:00,3,0.7288888888888889,328,450,False
1995-08-23 07:15:00-04:00,4,0.6983333333333334,419,600,True
1995-08-23 07:30:00-04:00,4,0.775,465,600,False
1995-08-23 07:45:00-04:00,4,0.7933333333333333,476,600,False
1995-08-23 08:00:00-04:00,4,0.975,585,600,False
1995-08-23 08:15:00-04:00,5,0.8373333333333334,628,750,True
1995-08-23 08:30:00-04:00,5,0.9133333333333333,685,750,False
1995-08-23 08:45:00-04:00,5,0.9653333333333334,724,750,False
1995-08-23 09:00:00-04:00,5,0.9293333333333333,697,750,False
1995-08-23 09:15:00-04:00,5,0.948,711,750,False
1995-08-23 09:30:00-04:00,6,0.6855555555555556,617,900,True
1995-08-23 09:45:00-04:00,6,0.8711111111111111,784,900,False
1995-08-23 10:00:00-04:00,6,0.7155555555555555,644,900,False
1995-08-23 10:15:00-04:00,6,0.7033333333333334,633,900,False
1995-08-23 10:30:00-04:00,6,0.89,801,900,False
1995-08-23 10:45:00-04:00,7,0.758095238095238,796,1050,True
1995-08-23 11:00:00-04:00,7,0.9152380952380952,961,1050,False
1995-08-23 11:15:00-04:00,7,0.758095238095238,796,1050,False
1995-08-23 11:30:00-04:00,8,0.9516666666666667,1142,1200,True
1995-08-23 11:45:00-04:00,8,0.58,696,1200,False
1995-08-23 12:00:00-04:00,8,0.8208333333333333,985,1200,False
1995-08-23 12:15:00-04:00,8,0.9458333333333333,1135,1200,False
1995-08-23 12:30:00-04:00,8,0.9466666666666667,1136,1200,False
1995-08-23 12:45:00-04:00,9,0.7866666666666666,1062,1350,True
1995-08-23 13:00:00-04:00,9,0.7288888888888889,984,1350,False
1995-08-23 13:15:00-04:00,9,0.8866666666666667,1197,1350,False
1995-08-23 13:30:00-04:00,9,0.7733333333333333,1044,1350,False
1995-08-23 13:45:00-04:00,9,0.8437037037037037,1139,1350,False
1995-08-23 14:00:00-04:00,10,0.7333333333333333,1100,1500,True
1995-08-23 14:15:00-04:00,10,0.676,1014,1500,False
1995-08-23 14:30:00-04:00,10,0.608,912,1500,False
1995-08-23 14:45:00-04:00,10,0.6693333333333333,1004,1500,False
1995-08-23 15:00:00-04:00,10,0.6666666666666666,1000,1500,False
1995-08-23 15:15:00-04:00,9,0.6911111111111111,933,1350,True
1995-08-23 15:30:00-04:00,10,0.7226666666666667,1084,1500,True
1995-08-23 15:45:00-04:00,10,0.874,1311,1500,False
1995-08-23 16:00:00-04:00,10,0.864,1296,1500,False
1995-08-23 16:15:00-04:00,10,0.8573333333333333,1286,1500,False
1995-08-23 16:30:00-04:00,10,0.7673333333333333,1151,1500,False
1995-08-23 16:45:00-04:00,10,0.5093333333333333,764,1500,False
1995-08-23 17:00:00-04:00,10,0.41933333333333334,629,1500,False
1995-08-23 17:15:00-04:00,10,0.472,708,1500,False
1995-08-23 17:30:00-04:00,10,0.494,741,1500,False
1995-08-23 17:45:00-04:00,10,0.468,702,1500,False
1995-08-23 18:00:00-04:00,10,0.43333333333333335,650,1500,False
1995-08-23 18:15:00-04:00,10,0.44066666666666665,661,1500,False
1995-08-23 18:30:00-04:00,10,0.38533333333333336,578,1500,False
1995-08-23 18:45:00-04:00,10,0.35333333333333333,530,1500,False
1995-08-23 19:00:00-04:00,9,0.39185185185185184,529,1350,True
1995-08-23 19:15:00-04:00,9,0.4014814814814815,542,1350,False
1995-08-23 19:30:00-04:00,9,0.40296296296296297,544,1350,False
1995-08-23 19:45:00-04:00,9,0.42148148148148146,569,1350,False
1995-08-23 20:00:00-04:00,9,0.43703703703703706,590,1350,False
1995-08-23 20:15:00-04:00,9,0.37555555555555553,507,1350,False
1995-08-23 20:30:00-04:00,9,0.42,567,1350,False
1995-08-23 20:45:00-04:00,9,0.3548148148148148,479,1350,False
1995-08-23 21:00:00-04:00,9,0.28296296296296297,382,1350,False
1995-08-23 21:15:00-04:00,9,0.23555555555555555,318,1350,False
1995-08-23 21:30:00-04:00,9,0.2688888888888889,363,1350,False
1995-08-23 21:45:00-04:00,9,0.2822222222222222,381,1350,False
1995-08-23 22:00:00-04:00,9,0.30148148148148146,407,1350,False
1995-08-23 22:15:00-04:00,9,0.3474074074074074,469,1350,False
1995-08-23 22:30:00-04:00,9,0.3451851851851852,466,1350,False
1995-08-23 22:45:00-04:00,8,0.4375,525,1200,True
1995-08-23 23:00:00-04:00,8,0.4216666666666667,506,1200,False
1995-08-23 23:15:00-04:00,8,0.3466666666666667,416,1200,False
1995-08-23 23:30:00-04:00,8,0.41333333333333333,496,1200,False
1995-08-23 23:45:00-04:00,8,0.31916666666666665,383,1200,False
1995-08-24 00:00:00-04:00,8,0.31833333333333336,382,1200,False
1995-08-24 00:15:00-04:00,8,0.21333333333333335,256,1200,False
1995-08-24 00:30:00-04:00,8,0.30666666666666664,368,1200,False
1995-08-24 00:45:00-04:00,8,0.2758333333333333,331,1200,False
1995-08-24 01:00:00-04:00,8,0.2633333333333333,316,1200,False
1995-08-24 01:15:00-04:00,8,0.26416666666666666,317,1200,False
1995-08-24 01:30:00-04:00,8,0.22416666666666665,269,1200,False
1995-08-24 01:45:00-04:00,8,0.155,186,1200,False
1995-08-24 02:00:00-04:00,8,0.18166666666666667,218,1200,False
1995-08-24 02:15:00-04:00,8,0.14583333333333334,175,1200,False
1995-08-24 02:30:00-04:00,7,0.24095238095238095,253,1050,True
1995-08-24 02:45:00-04:00,7,0.23523809523809525,247,1050,False
1995-08-24 03:00:00-04:00,7,0.21047619047619048,221,1050,False
1995-08-24 03:15:00-04:00,7,0.17142857142857143,180,1050,False
1995-08-24 03:30:00-04:00,7,0.1895238095238095,199,1050,False
1995-08-24 03:45:00-04:00,7,0.14285714285714285,150,1050,False
1995-08-24 04:00:00-04:00,7,0.17333333333333334,182,1050,False
1995-08-24 04:15:00-04:00,7,0.17142857142857143,180,1050,False
1995-08-24 04:30:00-04:00,7,0.18666666666666668,196,1050,False
1995-08-24 04:45:00-04:00,7,0.17714285714285713,186,1050,False
1995-08-24 05:00:00-04:00,7,0.13904761904761906,146,1050,False
1995-08-24 05:15:00-04:00,7,0.1295238095238095,136,1050,False
1995-08-24 05:30:00-04:00,7,0.18666666666666668,196,1050,False
1995-08-24 05:45:00-04:00,7,0.17904761904761904,188,1050,False
1995-08-24 06:00:00-04:00,7,0.2180952380952381,229,1050,False
1995-08-24 06:15:00-04:00,6,0.23444444444444446,211,900,True
1995-08-24 06:30:00-04:00,6,0.3011111111111111,271,900,False
1995-08-24 06:45:00-04:00,6,0.24888888888888888,224,900,False
1995-08-24 07:00:00-04:00,6,0.25222222222222224,227,900,False
1995-08-24 07:15:00-04:00,6,0.4066666666666667,366,900,False
1995-08-24 07:30:00-04:00,6,0.3611111111111111,325,900,False
1995-08-24 07:45:00-04:00,6,0.7033333333333334,633,900,False
1995-08-24 08:00:00-04:00,6,0.6122222222222222,551,900,False
1995-08-24 08:15:00-04:00,6,0.7444444444444445,670,900,False
1995-08-24 08:30:00-04:00,6,0.6811111111111111,613,900,False
1995-08-24 08:45:00-04:00,6,0.85,765,900,False
1995-08-24 09:00:00-04:00,6,0.82,738,900,False
1995-08-24 09:15:00-04:00,7,0.7552380952380953,793,1050,True
1995-08-24 09:30:00-04:00,7,0.6495238095238095,682,1050,False
1995-08-24 09:45:00-04:00,7,0.5942857142857143,624,1050,False
1995-08-24 10:00:00-04:00,7,0.6933333333333334,728,1050,False
1995-08-24 10:15:00-04:00,7,0.7742857142857142,813,1050,False
1995-08-24 10:30:00-04:00,8,0.8216666666666667,986,1200,True
1995-08-24 10:45:00-04:00,8,0.9725,1167,1200,False
1995-08-24 11:00:00-04:00,8,0.8641666666666666,1037,1200,False
1995-08-24 11:15:00-04:00,8,0.8566666666666667,1028,1200,False
1995-08-24 11:30:00-04:00,8,0.7691666666666667,923,1200,False
1995-08-24 11:45:00-04:00,9,0.7822222222222223,1056,1350,True
1995-08-24 12:00:00-04:00,9,0.7037037037037037,950,1350,False
1995-08-24 12:15:00-04:00,9,0.7066666666666667,954,1350,False
1995-08-24 12:30:00-04:00,9,0.7918518518518518,1069,1350,False
1995-08-24 12:45:00-04:00,9,0.8896296296296297,1201,1350,False
1995-08-24 13:00:00-04:00,10,0.722,1083,1500,True
1995-08-24 13:15:00-04:00,10,0.5113333333333333,767,1500,False
1995-08-24 13:30:00-04:00,10,0.318,477,1500,False
1995-08-24 13:45:00-04:00,10,0.25466666666666665,382,1500,False
1995-08-24 14:00:00-04:00,10,0.21333333333333335,320,1500,False
1995-08-24 14:15:00-04:00,9,0.5259259259259259,710,1350,True
1995-08-24 14:30:00-04:00,9,0.31851851851851853,430,1350,False
1995-08-24 14:45:00-04:00,9,0.5681481481481482,767,1350,False
1995-08-24 15:00:00-04:00,9,0.5259259259259259,710,1350,False
1995-08-24 15:15:00-04:00,9,0.7659259259259259,1034,1350,False
1995-08-24 15:30:00-04:00,9,0.8540740740740741,1153,1350,False
1995-08-24 15:45:00-04:00,9,0.7422222222222222,1002,1350,False
1995-08-24 16:00:00-04:00,9,0.7214814814814815,974,1350,False
1995-08-24 16:15:00-04:00,9,0.7311111111111112,987,1350,False
1995-08-24 16:30:00-04:00,9,0.6259259259259259,845,1350,False
1995-08-24 16:45:00-04:00,9,0.5637037037037037,761,1350,False
1995-08-24 17:00:00-04:00,9,0.5681481481481482,767,1350,False
1995-08-24 17:15:00-04:00,9,0.47555555555555556,642,1350,False
1995-08-24 17:30:00-04:00,9,0.6096296296296296,823,1350,False
1995-08-24 17:45:00-04:00,9,0.43777777777777777,591,1350,False
1995-08-24 18:00:00-04:00,8,0.53,636,1200,True
1995-08-24 18:15:00-04:00,8,0.5733333333333334,688,1200,False
1995-08-24 18:30:00-04:00,8,0.5666666666666667,680,1200,False
1995-08-24 18:45:00-04:00,8,0.36583333333333334,439,1200,False
1995-08-24 19:00:00-04:00,8,0.38166666666666665,458,1200,False
1995-08-24 19:15:00-04:00,8,0.415,498,1200,False
1995-08-24 19:30:00-04:00,8,0.3975,477,1200,False
1995-08-24 19:45:00-04:00,8,0.41583333333333333,499,1200,False
1995-08-24 20:00:00-04:00,8,0.3908333333333333,469,1200,False
1995-08-24 20:15:00-04:00,8,0.3983333333333333,478,1200,False
1995-08-24 20:30:00-04:00,8,0.3933333333333333,472,1200,False
1995-08-24 20:45:00-04:00,8,0.4741666666666667,569,1200,False
1995-08-24 21:00:00-04:00,8,0.3333333333333333,400,1200,False
1995-08-24 21:15:00-04:00,8,0.37666666666666665,452,1200,False
1995-08-24 21:30:00-04:00,8,0.48083333333333333,577,1200,False
1995-08-24 21:45:00-04:00,7,0.4895238095238095,514,1050,True
1995-08-24 22:00:00-04:00,7,0.3923809523809524,412,1050,False
1995-08-24 22:15:00-04:00,7,0.49523809523809526,520,1050,False
1995-08-24 22:30:00-04:00,7,0.5352380952380953,562,1050,False
1995-08-24 22:45:00-04:00,7,0.47523809523809524,499,1050,False
1995-08-24 23:00:00-04:00,7,0.4038095238095238,424,1050,False
1995-08-24 23:15:00-04:00,7,0.40190476190476193,422,1050,False
1995-08-24 23:30:00-04:00,7,0.3838095238095238,403,1050,False
1995-08-24 23:45:00-04:00,7,0.32571428571428573,342,1050,False
1995-08-25 00:00:00-04:00,7,0.31142857142857144,327,1050,False
1995-08-25 00:15:00-04:00,7,0.32,336,1050,False
1995-08-25 00:30:00-04:00,7,0.41523809523809524,436,1050,False
1995-08-25 00:45:00-04:00,7,0.33904761904761904,356,1050,False
1995-08-25 01:00:00-04:00,7,0.31238095238095237,328,1050,False
1995-08-25 01:15:00-04:00,7,0.22857142857142856,240,1050,False
1995-08-25 01:30:00-04:00,6,0.31555555555555553,284,900,True
1995-08-25 01:45:00-04:00,6,0.45222222222222225,407,900,False
1995-08-25 02:00:00-04:00,6,0.3933333333333333,354,900,False
1995-08-25 02:15:00-04:00,6,0.29555555555555557,266,900,False
1995-08-25 02:30:00-04:00,6,0.3055555555555556,275,900,False
1995-08-25 02:45:00-04:00,6,0.34,306,900,False
1995-08-25 03:00:00-04:00,6,0.3188888888888889,287,900,False
1995-08-25 03:15:00-04:00,6,0.2588888888888889,233,900,False
1995-08-25 03:30:00-04:00,6,0.2877777777777778,259,900,False
1995-08-25 03:45:00-04:00,6,0.22111111111111112,199,900,False
1995-08-25 04:00:00-04:00,6,0.23222222222222222,209,900,False
1995-08-25 04:15:00-04:00,6,0.21555555555555556,194,900,False
1995-08-25 04:30:00-04:00,6,0.2677777777777778,241,900,False
1995-08-25 04:45:00-04:00,6,0.2611111111111111,235,900,False
1995-08-25 05:00:00-04:00,6,0.36333333333333334,327,900,False
