time,request_count,total_bytes,error_count,unique_hosts,is_missing,hits_per_sec,error_rate,rolling_mean_request,rolling_std_request,is_spike_request,rolling_mean_bytes,rolling_std_bytes,bytes_per_request,is_spike_heavy_request,lag_request1,lag_byte1,lag_request2,lag_byte2,lag_request3,lag_byte3,hour,dow,hour_sin,hour_cos,dow_sin,dow_cos
1995-07-01 00:45:00-04:00,798,24073046.0,10,129,0,0.8866666666666667,0.012531328320802004,889.5,102.03757477844457,0,20006017.25,3812389.374098731,30128.96871088861,0,1006.0,22420824.0,944.0,17099635.0,810.0,16430564.0,0,5,0.0,1.0,-0.9749279121818236,-0.2225209339563146
1995-07-01 01:00:00-04:00,746,17147720.0,2,117,0,0.8288888888888889,0.002680965147453083,873.5,121.76890681395915,0,20185306.25,3599090.4991659927,22955.448460508702,0,798.0,24073046.0,1006.0,22420824.0,944.0,17099635.0,1,5,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146
1995-07-01 01:15:00-04:00,679,18621759.0,1,108,0,0.7544444444444445,0.0014727540500736377,807.25,141.16981499834398,0,20565837.25,3225133.3220826057,27384.939705882352,0,746.0,17147720.0,798.0,24073046.0,1006.0,22420824.0,1,5,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146
1995-07-01 01:30:00-04:00,827,25338643.0,5,117,0,0.9188888888888889,0.006045949214026602,762.5,64.97435391496145,0,21295292.0,4017243.5321992454,30602.225845410627,0,679.0,18621759.0,746.0,17147720.0,798.0,24073046.0,1,5,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146
1995-07-01 01:45:00-04:00,737,20307404.0,2,120,0,0.8188888888888889,0.0027137042062415195,747.25,60.895402125283645,0,20353881.5,3565095.9448976503,27516.80758807588,0,827.0,25338643.0,679.0,18621759.0,746.0,17147720.0,1,5,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146
1995-07-01 02:00:00-04:00,697,14072828.0,4,105,0,0.7744444444444445,0.005738880918220947,735.0,65.94947561075321,0,19585158.5,4652531.518497609,20161.6446991404,0,737.0,20307404.0,827.0,25338643.0,679.0,18621759.0,2,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
1995-07-01 02:15:00-04:00,538,16074744.0,5,96,0,0.5977777777777777,0.00929368029739777,699.75,120.7625079788149,0,18948404.75,4990364.001569917,29823.272727272728,0,697.0,14072828.0,737.0,20307404.0,827.0,25338643.0,2,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
1995-07-01 02:30:00-04:00,534,13827603.0,3,88,0,0.5933333333333334,0.0056179775280898875,626.5,105.78122076562865,0,16070644.75,2998480.3820788255,25845.98691588785,0,538.0,16074744.0,697.0,14072828.0,737.0,20307404.0,2,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
1995-07-01 02:45:00-04:00,499,13185446.0,0,73,0,0.5544444444444444,0.0,567.0,88.41945487278237,0,14290155.25,1247173.504533983,26370.892,0,534.0,13827603.0,538.0,16074744.0,697.0,14072828.0,2,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
1995-07-01 03:00:00-04:00,501,9363978.0,0,73,0,0.5566666666666666,0.0,518.0,20.864643139371655,0,13112942.75,2789444.3494140985,18653.34262948207,0,499.0,13185446.0,534.0,13827603.0,538.0,16074744.0,3,5,0.7071067811865476,0.7071067811865476,-0.9749279121818236,-0.2225209339563146
